scenario,component,current_law,plan_2146,change
"Single, no children · 67% AW",Original gross cash wage,49258.4,49258.4,0.0
"Single, no children · 67% AW",Employer Social Security contribution,2941.3668000000002,0.0,-2941.3668000000002
"Single, no children · 67% AW",Employer Medicare contribution,687.9003,0.0,-687.9003
"Single, no children · 67% AW","Employer social-insurance contribution, total",3629.2671,0.0,-3629.2671
"Single, no children · 67% AW",Employer health-insurance contribution,7594.781431536067,0.0,-7594.781431536067
"Single, no children · 67% AW",Employer social-insurance cashout into wages,0.0,3629.2671,3629.2671
"Single, no children · 67% AW",Employer health-pool cashout into wages,0.0,12021.8735532251,12021.8735532251
"Single, no children · 67% AW",Gross cash wage after cashouts,49258.4,64909.5406532251,15651.140653225099
"Single, no children · 67% AW",Taxable cash wage,47441.4,64909.5406532251,17468.1406532251
"Single, no children · 67% AW",Individual/wage tax before credits,3564.4680000000003,15902.837460040148,12338.369460040147
"Single, no children · 67% AW",Employee Social Security contribution,2941.3668000000002,0.0,-2941.3668000000002
"Single, no children · 67% AW",Employee Medicare contribution,687.9003,0.0,-687.9003
"Single, no children · 67% AW",Additional employee Medicare tax,0.0,0.0,0.0
"Single, no children · 67% AW",Pre-credit federal tax and social contributions,10823.002199999999,15902.837460040148,5079.835260040149
"Single, no children · 67% AW",Nonrefundable child tax credit,0.0,0.0,0.0
"Single, no children · 67% AW",Nonrefundable adult credit,0.0,3000.0,3000.0
"Single, no children · 67% AW",Refundable child credit,0.0,0.0,0.0
"Single, no children · 67% AW",Refundable adult wage credit,0.0,500.0,500.0
"Single, no children · 67% AW",Earned income tax credit,0.0,0.0,0.0
"Single, no children · 67% AW",Health-insurance credit,0.0,3250.0,3250.0
"Single, no children · 67% AW",Net federal tax before health credit,10823.002199999999,12402.837460040148,1579.8352600401486
"Single, no children · 67% AW",Net federal tax after health credit,10823.002199999999,9152.837460040148,-1670.1647399598514
"Single, no children · 67% AW",Gross annual health premium,9411.781431536067,7667.499391149566,-1744.2820403865007
